City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,bumba,2.1833,22.4667,21.85,95,79,0.58,CD,1722647899
152,agas,46.4833,26.2167,18.05,71,100,1.98,RO,1722647901
153,sola,-13.8833,167.55,26.23,80,22,6.4,VU,1722647902
154,yamada,39.4667,141.95,28.09,68,18,2.91,JP,1722647903
155,newman,37.3138,-121.0208,32.99,14,91,1.15,US,1722647904
156,timbuktu,16.7735,-3.0074,31.92,49,100,3.52,ML,1722647906
157,port augusta,-32.5,137.7667,14.66,56,100,3.74,AU,1722647907
158,vorkuta,67.5,64.0,16.27,65,7,5.96,RU,1722647908
159,fada,7.25,4.0667,21.0,99,74,0.81,NG,1722647910
160,quartu sant'elena,39.2419,9.1839,28.35,64,0,7.72,IT,1722647911
161,pudozh,61.8099,36.5345,11.9,97,20,1.33,RU,1722647912
162,hermanus,-34.4187,19.2345,4.89,76,0,1.56,ZA,1722647913
163,port lincoln,-34.7333,135.8667,13.08,60,86,1.68,AU,1722647915
164,ochobo,7.183,7.9769,22.34,97,100,1.74,NG,1722647916
165,arkhangel'sk,64.5401,40.5433,14.06,100,20,2.0,RU,1722647917
166,lebu,-37.6167,-73.65,9.26,92,9,3.26,CL,1722647918
167,fort bragg,35.139,-79.006,26.91,81,0,2.57,US,1722647920
168,st. paul,44.9444,-93.0933,29.31,55,0,5.66,US,1722647719
169,anadyr,64.75,177.4833,9.28,100,100,7.0,RU,1722647922
170,nova sintra,14.8667,-24.7167,25.28,77,100,10.15,CV,1722647925
171,brookings,44.3114,-96.7984,29.0,68,0,3.6,US,1722647926
172,karpinsk,59.7654,60.0085,14.2,92,100,0.75,RU,1722647927
173,el calafate,-50.3408,-72.2768,1.91,94,100,1.57,AR,1722647929
174,haiku-pauwela,20.9219,-156.3051,26.81,82,75,7.72,US,1722647930
175,hamilton,39.1834,-84.5333,22.72,86,0,3.6,US,1722647625
176,invercargill,-46.4,168.35,6.68,89,0,0.45,NZ,1722647933
177,cole harbour,44.6724,-63.4751,22.18,87,12,1.54,CA,1722647934
178,les cayes,18.2,-73.75,27.07,84,37,1.8,HT,1722647935
179,olonkinbyen,70.9221,-8.7187,5.85,93,100,4.71,SJ,1722647936
180,constantia,44.1833,28.65,19.38,70,8,5.4,RO,1722647939
181,pokhara,28.2333,83.9833,21.54,88,100,0.93,NP,1722647940
182,mil'kovo,55.6078,37.7956,15.35,75,12,2.5,RU,1722647941
183,atafu village,-8.5421,-172.5159,28.41,73,4,7.05,TK,1722647942
184,saint-joseph,-21.3667,55.6167,18.21,80,56,3.01,RE,1722647945
185,taruma,-22.7467,-50.5772,20.57,38,0,2.98,BR,1722647946
186,ergolding,48.5833,12.1667,17.53,86,0,0.03,DE,1722647947
187,whitehorse,60.7161,-135.0538,17.28,46,40,1.54,CA,1722647949
188,ust-nera,64.5667,143.2,11.77,54,70,1.16,RU,1722647950
189,fortuna,40.5982,-124.1573,19.08,92,100,5.66,US,1722647848
190,chadron,42.8294,-102.9999,35.82,23,0,3.6,US,1722647952
191,dudinka,69.4058,86.1778,15.98,65,22,3.55,RU,1722647954
192,kirakira,-10.4544,161.9205,30.45,65,48,3.55,SB,1722647955
193,saint-denis,48.9167,2.3333,17.86,81,0,2.06,FR,1722647956
194,codrington,-38.2667,141.9667,12.04,70,100,3.29,AU,1722647958
195,dwarka,22.2394,68.9678,27.76,88,100,9.83,IN,1722647959
196,vinaros,40.4703,0.4756,25.14,60,0,4.73,ES,1722647960
197,aurillac,44.9167,2.45,15.56,95,4,1.38,FR,1722647961
198,kyzyl,51.7,94.45,22.8,38,5,1.18,RU,1722647962
199,agat village,13.3886,144.6585,30.06,80,40,8.23,GU,1722647964
200,yanam,16.7333,82.2167,24.78,94,100,1.45,IN,1722647965
201,zheleznodorozhnyy,55.7503,38.0042,15.36,90,2,1.93,RU,1722647966
202,puerto ayora,-0.7393,-90.3518,19.9,78,41,5.27,EC,1722647968
203,bubaque,11.2833,-15.8333,26.34,77,96,4.38,GW,1722647969
204,road town,18.4167,-64.6167,29.02,79,40,4.63,VG,1722647970
205,mahibadhoo,3.7833,72.9667,28.2,69,100,0.73,MV,1722647971
206,el aouinet,35.8669,7.8867,29.82,26,27,3.51,DZ,1722647973
207,anna regina,7.2644,-58.5077,26.48,82,8,2.51,GY,1722647974
208,dalandzadgad,43.5708,104.425,17.83,56,95,4.62,MN,1722647975
209,cadale,2.7603,46.3222,24.49,85,99,8.52,SO,1722647977
210,keflavik,64.0049,-22.5624,10.24,81,40,5.66,IS,1722647979
211,kailua-kona,19.6406,-155.9956,28.98,73,40,4.12,US,1722647980
212,crane,31.3974,-102.3501,34.9,27,0,6.99,US,1722647982
213,shitanjing,39.2342,106.3439,21.95,57,0,0.67,CN,1722647983
214,tolanaro,-25.0319,46.9987,18.04,88,40,0.0,MG,1722647984
215,lugu,23.7464,120.7525,29.54,67,6,1.44,TW,1722647985
216,san patricio,28.017,-97.5169,31.41,64,10,5.07,US,1722647987
217,kingston,17.997,-76.7936,28.53,84,40,5.14,JM,1722647949
218,broken hill,-31.95,141.4333,15.57,32,98,3.44,AU,1722647989
219,kijang,35.2442,129.2139,32.85,70,0,2.0,KR,1722647990
220,nar'yan-mar,67.6713,53.087,12.14,88,13,5.65,RU,1722647992
221,port-gentil,-0.7193,8.7815,23.56,79,100,5.16,GA,1722647993
222,yelizovo,53.1873,158.3805,22.08,60,75,3.0,RU,1722647805
